timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/04/16 00:23:15.220, Tesla PG503-216, 26 %, 10 %, 4328 MiB, 42
2026/04/16 00:23:16.221, Tesla PG503-216, 37 %, 14 %, 4328 MiB, 42
2026/04/16 00:23:17.221, Tesla PG503-216, 31 %, 13 %, 4328 MiB, 43
2026/04/16 00:23:18.222, Tesla PG503-216, 33 %, 13 %, 4328 MiB, 42
2026/04/16 00:23:19.222, Tesla PG503-216, 16 %, 5 %, 4328 MiB, 41
2026/04/16 00:23:20.222, Tesla PG503-216, 16 %, 6 %, 4328 MiB, 41
2026/04/16 00:23:21.223, Tesla PG503-216, 2 %, 0 %, 4328 MiB, 41
2026/04/16 00:23:22.223, Tesla PG503-216, 37 %, 14 %, 4328 MiB, 41
2026/04/16 00:23:23.224, Tesla PG503-216, 32 %, 13 %, 4328 MiB, 41
2026/04/16 00:23:24.224, Tesla PG503-216, 5 %, 0 %, 4328 MiB, 43
2026/04/16 00:23:25.225, Tesla PG503-216, 3 %, 0 %, 4328 MiB, 41
2026/04/16 00:23:26.225, Tesla PG503-216, 10 %, 2 %, 4328 MiB, 43
2026/04/16 00:23:27.226, Tesla PG503-216, 39 %, 16 %, 4328 MiB, 42
2026/04/16 00:23:28.226, Tesla PG503-216, 35 %, 14 %, 4328 MiB, 42
2026/04/16 00:23:29.227, Tesla PG503-216, 15 %, 5 %, 4328 MiB, 43
2026/04/16 00:23:30.227, Tesla PG503-216, 40 %, 16 %, 4328 MiB, 42
2026/04/16 00:23:31.228, Tesla PG503-216, 31 %, 12 %, 4328 MiB, 44
2026/04/16 00:23:32.228, Tesla PG503-216, 35 %, 14 %, 4328 MiB, 42
2026/04/16 00:23:33.228, Tesla PG503-216, 37 %, 15 %, 4328 MiB, 42
2026/04/16 00:23:34.229, Tesla PG503-216, 9 %, 2 %, 4328 MiB, 42
2026/04/16 00:23:35.229, Tesla PG503-216, 7 %, 1 %, 4328 MiB, 42
2026/04/16 00:23:36.230, Tesla PG503-216, 11 %, 4 %, 4328 MiB, 42
2026/04/16 00:23:37.231, Tesla PG503-216, 30 %, 12 %, 4328 MiB, 44
2026/04/16 00:23:38.231, Tesla PG503-216, 38 %, 15 %, 4328 MiB, 44
2026/04/16 00:23:39.231, Tesla PG503-216, 26 %, 10 %, 4328 MiB, 42
2026/04/16 00:23:40.232, Tesla PG503-216, 37 %, 14 %, 4328 MiB, 44
2026/04/16 00:23:41.232, Tesla PG503-216, 32 %, 13 %, 4328 MiB, 43
2026/04/16 00:23:42.233, Tesla PG503-216, 6 %, 0 %, 4328 MiB, 43
2026/04/16 00:23:43.233, Tesla PG503-216, 41 %, 16 %, 4328 MiB, 44
2026/04/16 00:23:44.234, Tesla PG503-216, 17 %, 7 %, 4328 MiB, 43
2026/04/16 00:23:45.234, Tesla PG503-216, 6 %, 0 %, 4328 MiB, 43
2026/04/16 00:23:46.235, Tesla PG503-216, 38 %, 15 %, 4328 MiB, 43
2026/04/16 00:23:47.235, Tesla PG503-216, 36 %, 15 %, 4328 MiB, 44
2026/04/16 00:23:48.236, Tesla PG503-216, 28 %, 11 %, 4328 MiB, 43
2026/04/16 00:23:49.236, Tesla PG503-216, 40 %, 16 %, 4328 MiB, 43
2026/04/16 00:23:50.236, Tesla PG503-216, 9 %, 3 %, 4328 MiB, 45
